name_correct,name_source,woj
"""ADECCO POLAND"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",'ADECCO POLAND' SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,14
"""ADECCO POLAND"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ","""ADECCO POLAND"" SP. Z O. O.",14
"""ADECCO POLAND"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ","""Adecco Poland"" Sp. z o.o.",14
"""ADECCO POLAND"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ","""ADECCO POLAND"" Sp. z o.o.",14
"""ADECCO POLAND"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ","""Adecco Poland"" Sp. z o.o.  ",14
"""ADECCO POLAND"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ","""Adecco Poland"" Sp. z o.o. Agencja Pracy Tymczasowej",14
"""ADECCO POLAND"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ","""ADECCO POLAND"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",14
"""ADECCO POLAND"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ","""ADECCO POLAND"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (Krajowy Rejestr Agencji Zatrudnienia 364)",14
"""ADECCO POLAND"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",Adecco Poland,14
"""ADECCO POLAND"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",ADECCO POLAND,14
"""ADECCO POLAND"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",Adecco Poland  Sp. z o.o. Warszawa,14
"""ADECCO POLAND"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",ADECCO POLAND SP Z O.O .,14
"""ADECCO POLAND"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",Adecco Poland sp z o.o.,14
"""ADECCO POLAND"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",Adecco Poland Sp. z o. o.,14
